,Target,Available Business Disclosures,Disclosure,Sources,x,Source
2148,12.4,Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes,AO6,,,G4 Sector Disclosure 2011
2149,12.4,Ambient air quality levels according to pollutant concentrations in microgram per cubic meter (μg/m3) or,AO5,,,G4 Sector Disclosure 2011
2150,,parts per million (ppm) by regulatory regime,,,,
2151,12.4,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,OG7,,,G4 Sector Disclosure 2012
2152,12.4,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
2153,,rehabilitated,,,,
2154,12.4,"Benzene, lead and sulfur content in fuels",OG8,,,G4 Sector Disclosure 2012
2155,12.4,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
2156,,applicable legal designations,,,,
2157,12.4,Number (and percentage) of company operating sites where artisanal and small-scale mining (ASM),MM8,,,G4 Sector Disclosure 2010
2158,,"takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and",,,,
2159,,mitigate these risks,,,,
2160,12.4,Provisions for decommissioning of nuclear power sites,Former EU9,,,G4 Sector Disclosure 2009
2161,12.4,Quality of storm water by applicable regulatory standards,AO4,,,G4 Sector Disclosure 2011
2162,12.4,"Total amounts of overburden, rock, tailings, and sludges and their associated risks",MM3,,,G4 Sector Disclosure 2010
2163,12.4,Volume and disposal of formation or produced water,OG5,,,G4 Sector Disclosure 2012
2164,12.4,Volume of flared and vented hydrocarbon,OG6,,,G4 Sector Disclosure 2012
2165,12.5,Aircraft and pavement de-icing/anti-icing fluid used and treated by m3 and/or metric tonnes,AO6,,,G4 Sector Disclosure 2011
2166,12.5,Amount of drilling waste (drill mud and cuttings) and strategies for treatment and disposal,OG7,,,G4 Sector Disclosure 2012
2167,12.5,Programs and progress relating to materials stewardship,Former,,,G4 Sector Disclosure 2010
2168,,,MM11,,,
2169,12.5,"Total amounts of overburden, rock, tailings, and sludges and their associated risks",MM3,,,G4 Sector Disclosure 2010
2170,12.5,Type and sustainability performance of sourcing initiatives,EO9,,,G4 Sector Disclosure 2012
2171,12.5,Volume of flared and vented hydrocarbon,OG6,,,G4 Sector Disclosure 2012
2172,13.1,"Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework",EU5,,,G4 Sector Disclosure 2009
2173,13.1,Average generation efficiency of thermal plants by energy source and by regulatory regime,EU11,,,G4 Sector Disclosure 2009
2174,13.1,Building energy intensity,CRE1,,,G4 Sector Disclosure 2011
2175,13.1,"Demand-side management programs including residential, commercial, institutional and industrial",Former EU7,,,G4 Sector Disclosure 2009
2176,,programs,,,,
2177,13.1,Greenhouse gas emissions intensity from buildings,CRE3,,,G4 Sector Disclosure 2011
2178,13.1,Greenhouse gas emissions intensity from new construction and redevelopment activity,CRE4,,,G4 Sector Disclosure 2011
2179,13.1,Programs and progress relating to materials stewardship,MM11,,,G4 Sector Disclosure 2010
2180,13.1,Transmission and distribution losses as a percentage of total energy,EU12,,,G4 Sector Disclosure 2009
2181,13.1,"Type and number of sustainability certification, rating and labeling schemes for new construction,",CRE8,,,G4 Sector Disclosure 2011
2182,,"management, occupation and redevelopment",,,,
2183,13.1,Volume of flared and vented hydrocarbon,OG6,,,G4 Sector Disclosure 2012
2184,14.1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
2185,,rehabilitated,,,,
2186,14.1,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
2187,,applicable legal designations,,,,
2188,14.1,Volume and disposal of formation or produced water,OG5,,,G4 Sector Disclosure 2012
2189,14.2,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
2190,,rehabilitated,,,,
2191,14.2,Biodiversity of offset habitats compared to the biodiversity of the affected areas,EU13,,,G4 Sector Disclosure 2009
2192,14.2,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
2193,,applicable legal designations,,,,
2194,14.2,Number and percentage of significant operating sites in which biodiversity risk has been assessed and,OG4,,,G4 Sector Disclosure 2012
2195,,monitored,,,,
2196,14.2,The number and percentage of total sites identified as requiring biodiversity management plans,MM2,,,G4 Sector Disclosure 2010
2197,,"according to stated criteria, and the number (percentage) of those sites with plans in place",,,,
2198,14.3,"Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework",EU5,,,G4 Sector Disclosure 2009
2199,14.3,Average generation efficiency of thermal plants by energy source and by regulatory regime,EU11,,,G4 Sector Disclosure 2009
2200,14.3,Greenhouse gas emissions intensity from buildings,CRE3,,,G4 Sector Disclosure 2011
2201,14.3,Greenhouse gas emissions intensity from new construction and redevelopment activity,CRE4,,,G4 Sector Disclosure 2011
2202,14.3,Net energy output broken down by primary energy source and by regulatory regime,EU2,,,G4 Sector Disclosure 2009
2203,14.3,Transmission and distribution losses as a percentage of total energy,EU12,,,G4 Sector Disclosure 2009
2204,14.3,Volume of flared and vented hydrocarbon,OG6,,,G4 Sector Disclosure 2012
2205,14.4,"Percentage of purchased volume which is verified as being in accordance with credible, internationally",FP2,,,G4 Sector Disclosure 2010
2206,,"recognized responsible production standards, broken down by standard",,,,
2207,14.4,Type and sustainability performance of sourcing initiatives,EO9,,,G4 Sector Disclosure 2012
2208,15.1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
2209,,rehabilitated,,,,
2210,15.1,Biodiversity of offset habitats compared to the biodiversity of the affected areas,EU13,,,G4 Sector Disclosure 2009
2211,15.1,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
2212,,applicable legal designations,,,,
2213,15.1,Number and percentage of significant operating sites in which biodiversity risk has been assessed and,OG4,,,G4 Sector Disclosure 2012
2214,,monitored,,,,
2215,15.1,The number and percentage of total sites identified as requiring biodiversity management plans,MM2,,,G4 Sector Disclosure 2010
2216,,"according to stated criteria, and the number (percentage) of those sites with plans in place",,,,
2217,15.2,"Allocation of CO2e emissions allowances or equivalent, broken down by carbon trading framework",EU5,,,G4 Sector Disclosure 2009
2218,15.2,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
2219,,rehabilitated,,,,
2220,15.2,Greenhouse gas emissions intensity from buildings,CRE3,,,G4 Sector Disclosure 2011
2221,15.2,Greenhouse gas emissions intensity from new construction and redevelopment activity,CRE4,,,G4 Sector Disclosure 2011
2222,15.2,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
2223,,applicable legal designations,,,,
2224,15.2,"Percentage of purchased volume which is verified as being in accordance with credible, internationally",FP2,,,G4 Sector Disclosure 2010
2225,,"recognized responsible production standards, broken down by standard",,,,
2226,15.2,Type and sustainability performance of sourcing initiatives,EO9,,,G4 Sector Disclosure 2012
2227,15.2,Volume of biofuels produced and purchased meeting sustainability criteria,OG14,,,G4 Sector Disclosure 2010
2228,15.3,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
2229,,rehabilitated,,,,
2230,15.3,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
2231,,applicable legal designations,,,,
2232,15.4,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
2233,,rehabilitated,,,,
2234,15.4,Biodiversity of offset habitats compared to the biodiversity of the affected areas,EU13,,,G4 Sector Disclosure 2009
2235,15.4,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
2236,,applicable legal designations,,,,
2237,15.4,Number and percentage of significant operating sites in which biodiversity risk has been assessed and,OG4,,,G4 Sector Disclosure 2012
2238,,monitored,,,,
2239,15.4,The number and percentage of total sites identified as requiring biodiversity management plans,MM2,,,G4 Sector Disclosure 2010
2240,,"according to stated criteria, and the number (percentage) of those sites with plans in place",,,,
2241,15.4,Volume of biofuels produced and purchased meeting sustainability criteria,OG14,,,G4 Sector Disclosure 2012
2242,15.5,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or",MM1,,,G4 Sector Disclosure 2010
2243,,rehabilitated,,,,
2244,15.5,Biodiversity of offset habitats compared to the biodiversity of the affected areas,EU13,,,G4 Sector Disclosure 2009
2245,15.5,"Land remediated and in need of remediation for the existing or intended land use, according to",CRE5,,,G4 Sector Disclosure 2011
2246,,applicable legal designations,,,,
2247,15.5,Number and percentage of significant operating sites in which biodiversity risk has been assessed and,OG4,,,G4 Sector Disclosure 2012
2248,,monitored,,,,
2249,15.5,"Percentage of purchased volume which is verified as being in accordance with credible, internationally",FP2,,,G4 Sector Disclosure 2010
2250,,"recognized responsible production standards, broken down by standard",,,,
2251,15.5,The number and percentage of total sites identified as requiring biodiversity management plans,MM2,,,G4 Sector Disclosure 2010
2252,,"according to stated criteria, and the number (percentage) of those sites with plans in place",,,,
2253,15.5,Type and sustainability performance of sourcing initiatives,EO9,,,G4 Sector Disclosure 2012
2254,15.5,Volume of biofuels produced and purchased meeting sustainability criteria,OG14,,,G4 Sector Disclosure 2012
2255,15.6,"Percentage and total of animals raised and/or processed, by species and breed type",FP9,,,G4 Sector Disclosure 2010
2256,16.1,Actions taken to improve performance in relation to content dissemination issues (accessibility and,M4,,,G4 Sector Disclosure 2012
2257,,protection of vulnerable audiences and informed decision making) and results obtained,,,,
2258,16.1,"Number and nature of responses (feedback/complaints) related to content dissemination, including",M5,,,G4 Sector Disclosure 2012
2259,,"protection of vulnerable audiences and informed decision making and accessibility, and processes for",,,,
